Date,Open,High,Low,Close,Adj Close,Volume
2/25/2020,1433,1438.140015,1382.400024,1388.449951,1388.449951,2478300
2/26/2020,1396.140015,1415.699951,1379,1393.180054,1393.180054,2202400
2/27/2020,1362.060059,1371.703979,1317.170044,1318.089966,1318.089966,2978300
2/28/2020,1277.5,1341.140015,1271,1339.329956,1339.329956,3790600
3/2/2020,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500
3/3/2020,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300
3/4/2020,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300
3/5/2020,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300
3/6/2020,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600
3/9/2020,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400
3/10/2020,1260,1281.150024,1218.77002,1280.390015,1280.390015,2611400
3/11/2020,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500
3/12/2020,1126,1193.869995,1113.300049,1114.910034,1114.910034,4226700
3/13/2020,1179,1219.76001,1117.142944,1219.72998,1219.72998,3700100
3/16/2020,1096,1152.266968,1074.439941,1084.329956,1084.329956,4252400
3/17/2020,1093.109985,1130.859985,1056.01001,1119.800049,1119.800049,3861500
3/18/2020,1056.51001,1106.5,1037.280029,1096.800049,1096.800049,4233400
3/19/2020,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100
3/20/2020,1135.719971,1143.98999,1065.48999,1072.319946,1072.319946,3601800
3/23/2020,1061.319946,1071.319946,1013.536011,1056.619995,1056.619995,4044100
3/24/2020,1103.77002,1135,1090.619995,1134.459961,1134.459961,3341600
